ts_code,ann_date,name,gender,lev,title,edu,national,birthday,begin_date,end_date
000001.SZ,20251217,项有志,M,委员会成员,风险管理委员会委员,博士,中国,1964,20231226,
000001.SZ,20251217,项有志,M,董事会成员,执行董事,博士,中国,1964,20191107,
000001.SZ,20251217,项有志,M,委员会成员,关联交易控制委员会委员,博士,中国,1964,20231226,
000001.SZ,20251217,韩小京,M,监事,外部监事,硕士,中国,1955,20200907,20251216
000001.SZ,20251217,郭晓涛,M,董事会成员,非执行董事,硕士,,1971,20241008,
000001.SZ,20251217,郭晓涛,M,委员会成员,提名委员会委员,硕士,,1971,20241008,
000001.SZ,20251217,郭晓涛,M,委员会成员,战略委员会委员,硕士,,1971,20241008,
000001.SZ,20251217,郭晓涛,M,委员会成员,关联交易控制委员会委员,硕士,,1971,20241008,
000001.SZ,20251217,邓红,F,监事,职工监事,,中国,1974,20221110,20251216
000001.SZ,20251217,车国宝,M,监事,股东监事,本科,中国,1949,20101224,20251216
000001.SZ,20251217,谢永林,M,董事会成员,非执行董事,博士,中国,1968,20191107,
000001.SZ,20251217,谢永林,M,董事会成员,董事长,博士,中国,1968,20161210,
000001.SZ,20251217,谢永林,M,高管,法定代表人,博士,中国,1968,20161210,
000001.SZ,20251217,蔡方方,F,委员会成员,风险管理委员会委员,硕士,中国,1974,20231226,
000001.SZ,20251217,蔡方方,F,委员会成员,风险管理委员会主任,硕士,中国,1974,20231226,
000001.SZ,20251217,蔡方方,F,董事会成员,非执行董事,硕士,中国,1974,20140121,
000001.SZ,20251217,蔡方方,F,委员会成员,战略委员会委员,硕士,中国,1974,20140121,
000001.SZ,20251217,蔡方方,F,委员会成员,审计委员会委员,硕士,中国,1974,20231226,
000001.SZ,20251217,王春汉,M,委员会成员,审计与监督委员会委员,专科,中国,1951,20221110,20251216
000001.SZ,20251217,王春汉,M,委员会成员,审计与监督委员会主任,专科,中国,1951,20221110,20251216
000001.SZ,20251217,王春汉,M,监事,外部监事,专科,中国,1951,20200917,20251216
000001.SZ,20251217,潘敏,M,委员会成员,风险管理委员会委员,博士,,1966,20231226,
000001.SZ,20251217,潘敏,M,董事会成员,独立董事,博士,,1966,20231114,
000001.SZ,20251217,潘敏,M,委员会成员,提名委员会委员,博士,,1966,20231226,
000001.SZ,20251217,潘敏,M,委员会成员,关联交易控制委员会委员,博士,,1966,20251216,
